time,a,b,c,d,e,f,g,h,i,j,k,m,n,o,p,q,r,s,t
1561939200000,0,0,1,52.77,23.75,49.39,33.72,45.93,41.12,70.08,69.57,77.39,71.5,74.84,26.03,25.45,21.28,0,47.09695633
1561939260000,0,-5781,1,52.66,23.41,49.43,34.24,46.07,40.87,73.61,70.63,77.48,71.89,74.81,26.01,25.46,21.24,0,47.0963166
1561939320000,0,-11562,1.3,52.71,23.82,49.42,33.93,45.71,41.07,71.74,71.89,77.18,72.87,74.81,26.03,25.46,21.22,0,47.09660552
1561939380000,0,1,2,52.6,23.98,49.27,32.88,45.69,41.09,70.81,73.13,77.35,73.08,74.97,25.94,25.35,21.16,0,47.09676819
1561939440000,0,0.5,2.3,52.57,23.94,49.14,31.73,45.9,41.05,74.07,73.66,77.03,72.81,74.82,25.99,25.4,21.22,0,47.09695092
1561939500000,0,0,3,52.54,24.11,49.21,30.68,45.76,41.02,74.67,74.05,77.35,70.7,74.97,25.93,25.41,21.15,0,47.09671745
1561939560000,0,1,3,52.43,23.92,49.15,29.62,45.76,40.93,73.09,73.83,77.32,68.5,74.82,25.95,25.48,21.14,0,47.09632989
1561939620000,0,0.5,3.3,52.54,24.07,49.26,28.69,45.85,41.05,69.2,73.06,77.67,67.21,74.95,25.97,25.44,21.17,0,46.70712546
1561939680000,0,0,4,52.47,23.99,49.14,28.49,45.74,41.05,73.22,71.85,77.78,67.65,74.9,25.95,25.46,21.17,0,46.70789606
1561939740000,0,1,4,52.5,23.56,49.27,28.82,45.87,41.06,74.86,70.69,77.49,70.1,74.81,25.95,25.46,21.18,0,46.70838266
1561939800000,0,0.5,4,52.42,23.6,49.22,30.19,45.99,41.12,72.08,69.31,77.47,71.39,74.97,26,25.48,21.2,0,46.7076304
1561939860000,0,0,4,52.44,23.72,49.35,31.48,46.07,41.05,70.84,68.15,77.71,70.69,75.09,25.91,25.37,21.12,0,46.70979927
1561939920000,0,0,4,52.54,23.78,49.74,31.98,45.84,41.11,70.9,67.54,77.31,70.19,74.78,25.87,25.39,21.05,0,46.70784818
1561939980000,0,0,4,52.45,24.02,49.64,32.95,45.89,40.92,72.42,67.61,77.53,70.33,74.89,25.87,25.37,21.06,0,46.70790041
1561940040000,0,0,4.9,52.6,24.47,49.57,33.32,45.83,41.04,71.01,68.18,77.46,70.49,74.99,25.95,25.38,21.16,0,46.70727221
1561940100000,0,2,6,52.53,24.36,49.53,33.5,45.9,41.14,69.66,69.32,77.8,70.59,75.09,25.87,25.37,21.07,0,46.70747012
1561940160000,0,1,6,52.55,23.8,49.44,32.92,45.92,41.03,71.68,70.55,77.51,71.21,74.96,26.01,25.57,21.19,0,46.70681464
1561940220000,0,0,6,52.47,24.09,49.55,32.18,45.82,40.94,76.63,71.93,77.54,71.93,74.92,25.88,25.26,21.08,0,46.70603708
1561940280000,0,0,6,52.6,23.83,49.55,31.42,45.91,41.08,75.76,72.8,77.65,71.23,74.98,25.94,25.5,21.11,0,46.70641969
1561940340000,0,0,6.3,52.58,23.83,49.63,30.75,45.82,41.03,73.8,73.63,77.5,69.54,75.02,25.95,25.3,21.14,0,46.70670474
1561940400000,0,0,7,52.64,23.88,49.73,30.24,45.83,41.07,73.34,74.21,77.49,68.59,75.03,25.93,25.42,21.12,0,46.7060823
1561940460000,0,1,7,52.66,24.45,49.64,30.1,45.84,41.1,74.03,74.15,78.03,68.67,75.2,25.89,25.36,21.11,0,46.70694181
1561940520000,0,0.5,7,52.65,23.92,49.42,30.31,45.94,41.23,73.15,73.49,77.6,69.64,74.97,25.95,25.38,21.17,0,46.31621526
1561940580000,0,0,7,52.73,24.04,49.56,30.84,45.81,41.24,71.18,72.31,77.72,70.71,74.96,25.94,25.45,21.13,0,46.31649673
1561940640000,0,0,7,52.71,23.94,49.45,31.63,45.87,41.08,72.81,71.05,77.5,71.17,74.9,25.94,25.44,21.13,0,46.31630539
1561940700000,0,0,7,52.62,24.07,49.54,32.92,45.8,41.08,72.9,69.88,77.58,70.72,74.96,25.85,25.3,21.05,0,46.31628716
1561940760000,0,0,7,52.58,23.65,49.32,33.82,45.89,41.04,72.61,68.65,77.63,69.77,75.07,25.98,25.54,21.18,0,46.31684445
1561940820000,0,0,7,52.61,23.72,49.55,33.96,45.76,40.98,70.14,68.1,77.9,68.88,75.28,26,25.43,21.2,0,46.31630418
1561940880000,0,0,7,52.59,24.24,49.52,33.9,45.76,41.13,70.92,67.95,77.96,68.89,75.25,25.9,25.25,21.1,0,46.31680351
1561940940000,0,0,7,52.49,24.15,49.14,32.8,45.8,41,72.67,68.73,77.85,70.04,75.17,25.92,25.34,21.14,0,46.31621665
1561941000000,0,0,7,52.48,24.38,49.41,32.25,45.77,41.03,72.98,70.1,77.93,71.04,75.18,25.94,25.39,21.13,0,46.31689654
1561941060000,0,0,7,52.47,23.82,49.49,31.67,45.83,41.03,71.71,71.17,77.34,71.29,75.12,25.9,25.42,21.09,0,46.31640645
1561941120000,0,0,7,52.5,24.26,49.49,31.31,45.82,41.07,73.43,71.79,77.69,70.4,75.26,25.93,25.36,21.13,0,46.31680166
1561941180000,0,0,7.36,52.53,24.26,49.61,29.73,45.74,41.07,75.27,72.62,77.48,68.84,75.05,25.9,25.31,21.09,0,45.92705036
1561941240000,0,0.56,8,52.66,23.94,49.72,29.22,45.79,41.12,71.79,73.41,77.79,68.24,75.17,25.93,25.35,21.12,0,45.92615911
1561941300000,0,1,8,52.69,23.79,49.93,29.72,45.83,41.18,74.98,73.64,77.41,69.77,74.96,25.92,25.44,21.07,0,45.92702668
1561941360000,0,0,8.55,52.73,23.93,49.92,29.98,45.91,41.14,73.99,73.33,77.93,71.36,75.27,25.96,25.35,21.13,0,45.92636875
1561941420000,0,0.56,9,52.82,24.1,50.07,29.91,45.81,41.11,75.17,72.77,77.88,72.35,75.07,25.92,25.34,21.12,0,45.92683046
1561941480000,0,1,9,52.86,24.52,50.05,30.14,45.89,41.02,76.35,71.96,77.74,72.68,75.07,25.91,25.34,21.09,0,45.92703056
1561941540000,0,0,9.3,52.94,24.42,50.2,30.75,45.97,40.99,72.78,71.11,77.61,72.09,75.1,25.89,25.4,21.05,0,45.92624743
1561941600000,0,0.5,10,53.02,24.57,49.98,31.31,45.76,41,75.22,70.58,77.49,71.11,75.1,25.98,25.48,21.15,0,45.92697866
1561941660000,0,1,10,53.07,23.98,49.93,31.22,45.95,41.13,72.23,69.55,77.41,70.85,75.05,25.97,25.48,21.13,0,45.53704115
1561941720000,0,0,10,53.09,24.34,49.91,31.95,45.89,41.15,70.64,68.86,77.53,70.42,75.01,25.93,25.44,21.08,0,45.53636042
1561941780000,0,0,10,53.18,23.92,50.2,32.22,45.81,41.04,75.41,68.89,77.65,69.38,74.94,25.94,25.36,21.09,0,45.53635867
1561941840000,0,0,10,53.13,24.29,49.9,32.55,45.93,41.07,75.23,68.76,77.53,68.06,74.95,25.94,25.39,21.13,0,45.5371611
1561941900000,0,0,10,53.1,24.2,49.97,33.63,45.91,41.03,74.35,69.12,77.3,68.24,74.86,25.92,25.43,21.1,0,45.53631599
1561941960000,0,0,10,53.1,24.56,49.85,33.86,45.85,41.02,68.89,69.64,77.68,68.49,75.04,25.9,25.27,21.07,0,45.53654957
1561942020000,0,0,10,53.08,24.74,49.62,34.54,45.87,41.03,69.77,70.3,77.35,69.28,74.93,25.97,25.42,21.16,0,45.53642594
1561942080000,0,0,10,53.09,24.59,49.87,35.09,45.85,41.13,72.53,71.04,77.52,70.22,74.97,25.97,25.37,21.15,0,45.14678598
1561942140000,0,0,10,53.12,24.77,49.91,35.41,45.76,41.13,70.67,71.9,77.59,71.21,75.05,25.96,25.41,21.13,0,45.14671532
1561942200000,0,0,10,53.03,24.68,49.8,34.6,45.88,41,71.24,72.44,77.65,71.88,75.04,25.93,25.38,21.11,0,45.14687072
1561942260000,0,0,10,53.03,24.7,49.79,33.62,45.7,41.05,69.51,73.32,77.41,73.15,74.88,25.88,25.26,21.06,0,45.14704451
1561942320000,0,0.5,11.1,52.98,24.46,49.68,31.19,45.77,41.03,70.46,73.73,77.36,74.36,75.09,25.99,25.54,21.16,0,45.14680985
1561942380000,0,1,12,52.9,24.14,49.69,28.41,45.88,40.95,71.81,73.15,77.52,74.84,75.3,25.98,25.5,21.14,0,45.14748819
1561942440000,0,1,12,52.87,24.69,49.64,24.82,45.84,41.04,73.42,72.17,77.71,73.68,75.35,25.9,25.3,21.06,0,44.75689754
1561942500000,0,0.5,12.3,52.93,24.65,49.72,22.14,45.84,41.09,73.58,70.75,77.96,71.29,75.38,25.92,25.39,21.09,0,44.75755937
1561942560000,0,0,13,52.87,24.62,49.81,19.92,45.81,41.1,72.85,69.26,77.69,68.92,75.24,25.86,25.31,21.03,0,44.75714968
1561942620000,0,1,13.8,52.95,24.52,49.82,19.88,46.03,41.16,72.92,68.37,77.71,67.48,75.09,25.89,25.39,21.03,0,44.75756054
1561942680000,0,1,14,52.96,24.09,49.89,22.97,46.02,41.13,73.43,68.05,77.51,66.53,75.01,25.93,25.36,21.08,0,44.75755929
1561942740000,0,1,14,52.91,24.54,50.04,27.04,45.98,40.97,71.95,68.27,78.1,66.75,75.15,25.87,25.28,21.02,0,44.36735423
1561942800000,0,0,14,52.91,24.71,49.74,32.1,45.97,41.05,71.1,68.67,78.06,67.04,74.93,25.93,25.31,21.09,0,44.36690109
1561942860000,0,0,14,52.99,24.04,49.93,38.08,46.22,40.99,73.44,69.63,77.86,67.52,74.97,25.97,25.42,21.13,0,44.36712941
1561942920000,0,0,14,53.02,24.61,49.9,43.3,45.79,41.06,72.58,70.78,77.76,69.12,74.92,25.94,25.46,21.09,0,44.36726804
1561942980000,0,0,14,53.02,24.6,50.08,46.83,45.75,40.99,68.33,71.98,77.31,72.04,74.68,25.94,25.4,21.11,0,44.36754473
1561943040000,0,0.5,14.8,53.06,24.84,49.9,48.47,45.74,40.92,72.53,72.95,77.32,74.46,74.87,25.96,25.25,21.14,0,43.97707222
1561943100000,0,1,15,52.95,24.95,49.76,47.72,45.69,41,70.34,73.73,76.93,75.77,74.78,25.97,25.35,21.17,0,43.97719718
1561943160000,0,0,15.5,53.03,24.97,49.94,43.92,45.58,41.06,67.07,73.9,77.08,75.32,74.99,25.95,25.44,21.11,0,43.97710592
1561943220000,0,0.5,16,52.94,25.32,49.9,37.86,45.6,40.99,67.49,73.6,77.13,73.44,75.17,25.91,25.28,21.07,0,43.97690758
1561943280000,0,1,16.3,52.99,24.92,49.88,31.2,45.6,40.97,68.99,72.44,77.39,71.98,75.27,25.94,25.44,21.07,0,43.58726833
1561943340000,0,1,17,52.88,25.11,49.68,24.35,45.69,41.01,66.99,71.27,77.75,69.86,75.33,25.91,25.42,21.07,0,43.58688366
1561943400000,0,0.5,17,53.03,24.97,49.58,18.84,45.7,40.98,67.33,70.13,77.72,68.17,75.18,26.02,25.52,21.2,0,43.58690704
1561943460000,0,0,17.3,52.92,24.59,49.44,15.15,45.8,41.02,69.58,69.15,77.54,67.29,75.03,26.03,25.5,21.23,0,43.58728675
1561943520000,0,1,18,53.02,24.3,49.66,13.84,45.94,41.11,68.7,68.65,77.91,66.75,75.15,26.01,25.51,21.16,0,43.19671699
1561943580000,0,0.5,18.3,52.91,24.4,49.62,14.92,45.93,41.01,68.55,68.35,77.89,67.57,75.04,25.98,25.51,21.11,0,43.19626463
1561943640000,0,0,19,52.94,24.01,49.68,18.25,46.13,41.13,70.83,68.58,77.9,68.44,75.01,25.96,25.45,21.12,0,43.19612045
1561943700000,0,1,19.8,52.94,24.15,49.89,23.88,46.07,40.98,70.61,69.22,77.92,69.68,75.03,25.94,25.42,21.07,0,42.80540693
1561943760000,0,1,20,52.99,24.07,49.76,31.14,46.11,41.16,69.46,69.75,77.61,70.74,75.04,25.92,25.32,21.08,0,42.80560005
1561943820000,0,1,20,53.06,24.12,49.92,37.57,46.09,41.07,67.05,70.65,77.62,71.84,75.03,25.99,25.48,21.15,0,42.80537232
1561943880000,0,0,20.8,52.97,24.44,49.8,42.57,46.04,41.07,68.9,72.05,77.43,72.98,74.92,25.9,25.29,21.06,0,42.80547945
1561943940000,0,0.5,21,53.02,24.48,49.76,46.74,45.87,41.06,71.26,73.26,77.11,74,74.91,25.98,25.44,21.16,0,42.41391489
1561944000000,0,1,21,52.98,24.84,50.06,47.72,45.78,40.96,70.21,73.84,77.14,74.92,74.85,25.92,25.43,21.08,0,42.4139969
1561944060000,0,0,21.3,52.98,25.19,49.99,46.39,45.71,41.14,67.7,73.86,77.29,73.97,75.02,25.96,25.37,21.11,0,42.41415482
1561944120000,0,0.5,22.3,53.01,25.12,49.86,42.4,45.77,41.05,63.5,73.64,76.83,71.36,75.11,25.91,25.4,21.09,0,42.02138308
1561944180000,0,1,23,53.08,25.17,49.82,37.08,45.77,41.15,65.5,72.73,77.72,69.22,75.41,25.99,25.52,21.14,0,42.02137345
1561944240000,0,1,23.3,53.03,25.21,49.91,32.05,45.58,41.03,72.51,71.74,77.39,68.98,75.07,25.97,25.34,21.14,0,42.02143109
1561944300000,0,1,24,53.09,25.18,49.96,26.94,45.69,41.04,72.05,70.88,77.92,68.82,75.21,25.91,25.32,21.06,0,41.62858224
1561944360000,0,1,24.3,53.08,25.49,50.15,22.97,45.58,41.12,68.03,69.51,77.49,68.68,75.01,25.83,25.23,20.98,0,41.62915369
1561944420000,0,1,25,53.13,25.46,50.1,20.22,45.66,41.04,67.97,68.79,77.48,68.93,75,25.91,25.39,21.05,0,41.62887309
1561944480000,0,0.5,25.3,53.17,24.36,50.07,19.23,45.88,41.2,66.59,68.58,77.18,69.61,74.98,25.93,25.34,21.08,0,41.23486205
1561944540000,0,0,26.3,53.21,24.41,50.07,20.36,46.1,41.15,66.1,68.75,77.48,70.54,75.03,25.92,25.37,21.07,0,41.23498403
1561944600000,0,2,27.5,53.13,24.14,49.94,22.94,46.14,40.97,68.96,69.34,77.58,71.37,75.13,25.94,25.42,21.09,0,41.23480067
1561944660000,0,1.5,28,53.24,24.46,50.13,26.75,46.12,41.06,67.55,70.08,77.83,70.89,75.27,25.9,25.37,21.05,0,40.83973215
1561944720000,0,1,28,53.17,24.34,49.89,29.76,46.23,41.11,65.5,71.12,77.67,70.26,75.26,25.93,25.35,21.07,0,40.83981275
1561944780000,0,0,28,53.14,24.35,49.98,33.56,46.03,41.11,62.69,71.9,77.46,71.33,75.14,25.93,25.4,21.08,0,40.84008368
1561944840000,0,0,28,53.07,24.76,49.82,37.31,45.96,41.05,67.28,72.34,77.35,72.91,75.23,25.88,25.29,21.04,0,40.44468531
1561944900000,0,0,28.3,53.02,24.8,49.67,39.38,45.96,41.04,64.06,72.73,77.67,71.8,75.24,25.93,25.4,21.08,0,40.44451957
1561944960000,0,1,29,53,25.03,49.75,40.89,45.91,41.17,62.22,73.06,77.72,69.72,75.38,25.95,25.42,21.11,0,40.44494949
1561945020000,0,0.5,29,52.94,24.94,49.6,41.6,45.65,41.08,67.78,73.06,77.9,68.15,75.34,25.98,25.44,21.13,0,40.04753407
1561945080000,0,0,29,52.97,24.95,49.84,40.32,45.68,41.02,65.37,72.69,77.81,68.39,75.29,25.92,25.33,21.05,0,40.04767534
1561945140000,0,0,29,52.94,25.4,49.87,38.53,45.76,41.09,64.63,72.51,78.07,69.64,75.4,25.87,25.28,21.01,0,40.04756863
1561945200000,0,1,32.1,52.97,25.2,49.03,36.55,45.7,41.01,67.1,72.06,77.68,71.12,75.26,26.14,25.76,21.37,0,39.64898007
1561945260000,0,2,54.8,52.96,22.91,45.8,33.15,46.11,40.9,63.2,70.8,77.64,72.92,75.14,26.93,26.5,22.46,0,39.64894493
1561945320000,0,43,102.1,52.38,20.01,43.19,29.33,46.22,41.07,63.32,69.4,77.87,71.69,75.15,27.15,26.59,22.86,0,39.64955777
1561945380000,0,66.5,163.1,51.35,17.88,40.61,24.77,46.23,41.1,65.18,68.07,77.66,66.98,74.86,27.22,26.57,23.05,0,39.2495017
1561945440000,0,90,237.9,49.84,16.24,38.05,20.39,46.25,41.09,67.64,67.45,77.78,59.84,74.79,27.12,26.67,23.02,0,39.24927973
1561945500000,0,114,310.9,48.17,15.57,36.02,17.68,46.16,41.08,66.85,66.65,78.3,53.51,74.79,26.96,26.48,22.92,0,38.84758551
1561945560000,0,111.5,384.9,46.26,15.39,34.12,17.3,46.22,41.07,70.85,66.55,78.49,49.11,74.49,26.78,26.22,22.76,0,38.84754007
1561945620000,0,109,443.4,44.3,15.44,32.56,19.01,46.07,40.96,68.47,66.52,78.5,47.3,74.15,26.65,26.1,22.64,0,38.84807993
1561945680000,0,83,491.6,42.52,15.78,32.01,24.29,46.22,40.98,67.79,66.68,78.26,49.21,73.67,26.45,25.98,22.44,0,38.44458159
1561945740000,0,83.5,550.9,40.98,16.39,31.88,31.57,45.93,40.98,73.84,67.4,78.49,52.69,73.36,26.18,25.72,22.16,0,38.44504516
1561945800000,0,84,606.6,39.91,16.09,32.5,39.34,45.87,41.09,74.7,68.14,77.81,57.59,73.2,26.07,25.66,22.01,0,38.0394336
1561945860000,0,80,648.7,39.08,16.2,33.74,46.42,45.64,40.96,74.13,68.46,78.04,63.14,73.32,25.89,25.44,21.8,0,38.03963918
1561945920000,0,58.5,670.3,38.81,16.89,35.37,51.64,45.54,41.02,71.97,69.11,77.69,68.39,73.27,25.77,25.27,21.68,0,38.03936059
1561945980000,0,37,682.7,38.86,16.83,37.13,52.15,45.42,40.91,75.06,69.24,77.08,72.85,73.18,25.71,25.28,21.58,0,37.63225252
1561946040000,0,16,688.5,39.35,16.9,38.97,48.88,45.37,40.95,73.11,69.61,76.47,74.93,73.16,25.69,25.18,21.6,0,37.63236227
1561946100000,0,11.5,693.5,40.05,17.14,40.63,41.59,45.5,40.97,73.43,69.54,75.85,74.48,73.08,25.69,25.18,21.61,0,37.63234349
1561946160000,0,7,700.5,40.95,17.17,42.2,32.43,45.49,41,75.21,69.33,75.88,71.15,73.03,25.79,25.3,21.68,0,37.22285884
1561946220000,0,11,707.8,42.08,17.01,43.84,21.8,45.48,40.81,74.28,69.37,75.64,65.81,72.83,25.9,25.46,21.8,0,37.2223543
1561946280000,0,14.5,726.1,43.17,16.69,44.88,12.73,45.62,40.97,74.04,69.63,75.5,60.92,72.84,26,25.51,21.92,0,36.81015208
1561946340000,0,18,761.6,44.25,16.14,45.61,5.72,45.96,41,73.92,69.92,75.67,58.46,72.64,26.12,25.76,22.02,0,36.81012374
1561946400000,0,60,818.9,45.22,15.57,45.87,2.35,46,41.01,74.96,70.2,75.87,57.71,72.54,26.18,25.74,22.1,0,36.81044835
1561946460000,0,83,892.6,45.94,15.53,45.54,3.74,46.21,40.98,74.81,70.13,75.97,59.27,72.28,26.25,25.8,22.22,0,36.39623689
1561946520000,0,106,960.4,46.48,14.63,44.9,8.07,46.31,41.1,74.46,69.96,76.1,60.76,72.04,26.36,25.88,22.34,0,36.39585245
1561946580000,0,99,1011.6,46.53,14.44,43.79,14.27,46.33,41.01,72.85,70.17,75.85,62.03,71.85,26.32,25.72,22.35,0,36.39602542
1561946640000,0,78.5,1046.9,46.29,14.19,42.42,23.24,46.31,40.93,77.23,70.89,75.43,63.67,71.75,26.31,25.84,22.37,0,35.97840242
1561946700000,0,58,1072.6,45.82,14.02,40.89,30.97,46.36,41.09,72.18,71.23,74.8,66.39,71.66,26.32,25.89,22.36,0,35.97854355
1561946760000,0,40,1102.3,45.02,14.04,39.44,37.58,46.38,41.03,78.11,71.22,74.78,69.96,71.49,26.26,25.88,22.31,0,35.55713031
1561946820000,0,48.5,1144.9,44.09,14.12,38.11,42.58,46.22,40.99,82.62,71.48,74.82,69.72,71.66,26.06,25.65,22.13,0,35.55724552
1561946880000,0,57,1186.3,43.08,14.31,36.87,44.34,46,41.04,78.63,71.26,74.59,66.51,71.51,26.06,25.59,22.12,0,35.55783723
1561946940000,0,64,1222.5,42.04,14.85,36.16,43.11,45.9,41.03,77.18,70.77,74.55,62.81,71.47,25.98,25.52,22.04,0,35.13328578
1561947000000,0,52,1247.3,41.26,14.98,35.68,39.65,45.68,40.97,82.78,69.71,74.63,61.37,71.51,25.9,25.41,21.95,0,35.13383544
1561947060000,0,40,1273.9,40.56,14.82,35.74,35.51,45.68,41.03,80.99,68.71,74.53,61.39,71.59,25.9,25.4,21.95,0,34.70600052
1561947120000,0,41,1306.5,40.04,15.02,36.27,30.85,45.45,40.96,82.25,67.78,74.56,62.15,71.39,25.75,25.36,21.75,0,34.70628743
1561947180000,0,48.5,1344.5,39.6,15.4,36.71,26.11,45.65,40.94,81.4,66.91,74.77,61.92,71.48,25.68,25.2,21.69,0,34.27492254
1561947240000,0,56,1392.4,39.55,15.55,37.54,22.21,45.67,40.92,78.76,66.23,75.22,60.42,71.61,25.67,25.17,21.68,0,34.2744218
1561947300000,0,71,1439.4,39.63,15.67,38.51,18.9,45.79,40.84,82.05,66.07,75.3,60.9,71.7,25.68,25.32,21.62,0,34.27487513
1561947360000,0,66,1475,39.99,15.57,39.68,17.55,45.79,40.95,83.56,66.67,75.6,63.48,71.95,25.73,25.27,21.67,0,33.83930179
1561947420000,0,61,1503,40.5,15.94,40.85,16.44,45.87,40.81,80.55,67.35,76.03,66.93,72.25,25.66,25.15,21.62,0,33.83910194
1561947480000,0,38,1528.1,41.16,15.83,41.56,16.73,45.86,40.97,82.87,68.73,76.94,68.01,72.79,25.74,25.22,21.69,0,33.40021119
1561947540000,0,42.5,1562.7,41.84,15.51,42.54,17.59,46.01,40.92,85.7,70.23,76.81,67.22,72.93,25.84,25.33,21.8,0,33.39962602
1561947600000,0,47,1598.1,42.62,15.34,43.27,19.24,46.16,40.99,79.58,71.64,77.21,65.31,73.25,25.84,25.39,21.77,0,33.40002677
1561947660000,0,59,1645.1,43.14,15.13,43.42,21.12,46.26,40.88,77.9,72.71,77.3,64.36,73.26,25.89,25.36,21.87,0,32.9560859
1561947720000,0,68.5,1697.2,43.74,14.66,43.44,24.39,46.29,41.05,81.69,73.5,77.48,63.16,73.23,26.05,25.57,22.02,0,32.9560905
1561947780000,0,78,1752.8,44.26,14.7,43.4,27.1,46.18,40.99,76.82,73.82,77.66,61.57,73.09,26.1,25.64,22.07,0,32.50666268
1561947840000,0,86,1811.3,44.51,14.49,42.91,30.16,46.13,41.1,80.52,73.63,77.18,60.58,72.71,26.15,25.64,22.11,0,32.5069677
1561947900000,0,88,1873.3,44.58,14.64,42.25,32.77,46.26,41.07,80.59,73.09,77.06,60.2,72.86,26.11,25.6,22.11,0,32.05341763
1561947960000,0,90,1946.5,44.51,14.66,41.53,35.23,46.04,41.06,85.01,72.08,77.29,60.02,72.84,26.17,25.76,22.18,0,32.05328156
1561948020000,0,109,2015.5,44.4,14.9,40.86,37.47,45.93,41.13,83.04,70.95,77.44,60.56,72.75,26.13,25.6,22.18,0,31.59436352
1561948080000,0,104,2082.4,43.86,14.72,39.86,39.06,45.97,40.88,81.61,69.1,77.34,61.11,72.5,26.13,25.61,22.19,0,31.59396464
1561948140000,0,99,2142.7,43.51,14.53,39.02,38.86,45.94,41.09,77.78,67.78,77.51,60.36,72.57,26.18,25.71,22.25,0,31.59356537
1561948200000,0,93,2203.5,42.9,14.65,38.13,36.57,45.84,41.06,79.84,66.65,77.71,59.13,72.65,26.09,25.56,22.19,0,31.12882194
1561948260000,0,83,2248.2,42.24,14.54,37.44,33.53,45.73,41.02,86.67,66.22,77.34,60.54,72.5,25.99,25.5,22.1,0,31.12896501
1561948320000,0,73,2277.3,41.62,14.59,37.14,29.63,45.75,41.01,82.76,65.93,77.38,62.85,72.54,26,25.57,22.07,0,30.65829862
1561948380000,0,46,2311.1,41.1,14.46,37.07,25.32,46.08,41.01,83.78,66.26,77.86,62.84,72.81,25.94,25.45,22.02,0,30.65868662
1561948440000,0,46,2339.5,40.77,14.49,37.18,22.16,45.72,41.1,87.71,67.42,77.74,60.3,72.77,25.89,25.4,21.95,0,30.18197663
1561948500000,0,46,2370.7,40.55,14.68,37.62,19.05,45.93,41.05,79.98,68.79,77.87,58.47,72.59,25.77,25.24,21.86,0,30.18135101
1561948560000,0,48,2409.9,40.36,14.23,38.01,17.48,45.79,40.96,81.97,70.15,77.55,59.27,72.36,25.76,25.26,21.82,0,29.69816353
1561948620000,0,57,2452.4,40.4,14.77,38.85,17.4,45.93,40.9,84.94,71.54,77.78,60.99,72.54,25.77,25.29,21.81,0,29.697704
1561948680000,0,66,2497.8,40.51,14.52,39.37,18.54,45.95,41.01,84.56,72.29,77.98,61.41,72.65,25.73,25.31,21.74,0,29.2077136
1561948740000,0,69,2542.8,40.88,14.63,39.92,20.51,46.13,40.91,84.8,72.79,77.85,62.06,72.51,25.74,25.26,21.79,0,29.20733466
1561948800000,0,68.5,2590.6,41.05,14.31,40.45,23.4,46.25,40.93,84.52,72.34,78.17,63.09,72.82,25.8,25.4,21.8,0,28.70980978
1561948860000,0,68,2641.2,41.5,14.56,40.87,26.23,46.34,41.01,83.24,71.61,78.67,63.74,73.09,25.84,25.4,21.9,0,28.7098491
1561948920000,0,72,2686.4,41.92,14.35,41.45,29.74,46.1,40.96,82.9,70.62,78.73,63.82,73.01,25.87,25.39,21.89,0,28.20470203
1561948980000,0,68.5,2727.9,42.26,14.41,41.6,32.02,46.04,40.96,83.12,69.71,78.44,63.23,72.87,25.92,25.55,21.91,0,28.20460766
1561949040000,0,65,2778.4,42.72,14.7,41.88,33.48,46.18,41.04,78.46,68.77,77.92,62.46,72.79,25.97,25.44,22.03,0,27.69212267
1561949100000,0,83,2832.2,42.92,14.6,41.85,34.01,45.86,40.99,84.88,67.5,78.3,61.83,72.66,26,25.6,22.02,0,27.69202707
1561949160000,0,80.5,2889.3,43.23,14.45,41.61,33.78,46.07,41.09,78.18,67.12,77.91,59.31,72.67,26.04,25.61,22.11,0,27.17025962
1561949220000,0,78,2963.2,43.38,14.39,41.28,33.1,46.22,41.1,81.15,67.5,77.93,56.8,72.33,26.12,25.64,22.2,0,27.17031951
1561949280000,0,108,3039.7,43.41,14.38,40.99,32.29,45.97,41.11,78.62,68.04,77.39,57.76,71.82,26.07,25.55,22.15,0,26.64055157
1561949340000,0,114.5,3116.1,43.33,14.39,40.57,30.85,45.94,40.89,80.73,69.05,77.8,59.89,72.16,26.15,25.69,22.2,0,26.64057163
1561949400000,0,121,3181.8,43.32,14.53,40.29,29.11,45.99,41.11,81.32,69.8,78.14,60.69,72.18,26.09,25.6,22.2,0,26.10084772
1561949460000,0,98,3246.9,43.01,14,39.65,26.29,45.85,41.11,78.79,70.9,78.31,60.09,72.37,26.11,25.68,22.2,0,26.10117717
1561949520000,0,96,3307.8,42.73,14.1,39.14,23.62,46.06,41.06,80.3,71.59,78.63,59.78,72.47,26.06,25.65,22.14,0,25.55244039
1561949580000,0,94,3357.8,42.33,14.21,38.77,21.25,45.98,41.05,84.81,72.29,78.99,61.2,72.69,26,25.55,22.09,0,25.55264077
1561949640000,0,66,3401.09,41.93,13.96,38.45,19.64,46.05,40.92,84.86,72.34,78.77,62.82,72.79,26,25.57,22.09,0,24.99378586
1561949700000,0,64.33,3439.56,41.72,14.16,38.38,18.71,46.06,41.19,81.81,71.66,79.53,63.23,73.27,25.91,25.45,22.01,0,24.99352979
1561949760000,0,63,3470.3,41.38,13.9,38.25,18.33,46.02,40.97,85.18,71.08,79.45,61.73,73.23,25.91,25.38,21.99,0,24.42516935
1561949820000,0,49,3507.3,41.26,13.92,38.26,18.87,46.14,40.99,82.5,70,79.29,58.89,72.92,25.89,25.4,21.98,0,24.42517737
1561949880000,0,52.27,3545.45,40.97,14.01,38.5,20.12,46.19,40.89,83.22,68.53,79.26,57.28,72.82,25.83,25.36,21.9,0,23.84501777
