MSFT_-ve,MSFT_open,MSFT_high,MSFT_low,MSFT_close,MSFT_volume,MSFT_open_diff1,MSFT_+ve__S__0,MSFT_+ve__S__1,MSFT_+ve__S__2
1,-0.6478415560028113,-0.6549278975341555,-0.6440160937738466,-0.6500533690863257,0.5215301981733715,0.056339997384731305,0,1,0
1,-0.6504956544788,-0.6578571934170278,-0.6487750530048788,-0.6562461996619744,1.2737153930077723,0.28157404779956413,1,0,0
0,-0.6587528497374313,-0.6651804331242084,-0.7076671734889017,-0.6624390302376231,1.4938556091255308,0.23415635297539344,0,1,0
1,-0.665830445673401,-0.6686955881836552,-0.6618621908902173,-0.665977790566565,0.7619299028423934,-0.16889405303010577,0,1,0
1,-0.6628814473667469,-0.6678167994187933,-0.6618621908902173,-0.6627339269317015,0.41547464314538773,0.008922302560556414,0,0,1
1,-0.664355946520074,-0.6651804331242084,-0.6574006666111245,-0.6639135137080155,-0.7739033791848214,-0.12740357005895167,0,1,0
0,-0.6624390976207488,-0.6613723484764745,-0.6556160568994875,-0.658900269908681,0.6492356641893988,-0.19853011229521403,0,0,1
1,-0.6587528497374313,-0.659614770946751,-0.652939142332032,-0.657720683132367,0.9453422936816521,-0.27558386638449717,1,0,0
1,-0.6531497529547886,-0.651705672062996,-0.6496673578606973,-0.6447452285929126,1.743204699454788,-0.4296913745630719,0,1,0
1,-0.6437129583734957,-0.6481905170035493,-0.6463955733893626,-0.6494635756981687,1.6164761969255153,0.08004884479681876,1,0,0
0,-0.6469568565108151,-0.6470187986504004,-0.6398520044466934,-0.6453350219810696,0.9632810771585771,0.02077672626659803,1,0,0
0,-0.6487262554948076,-0.6470187986504004,-0.6419340491102701,-0.6423860550402846,0.2563663030056282,-0.2400205952663681,0,0,1
0,-0.6440078582041611,-0.6487763761801238,-0.6440160937738466,-0.6500533690863257,2.1355572369510263,0.24601077668143506,0,0,1
1,-0.6513803539707962,-0.6493622353566982,-0.6466930083413022,-0.6415013649580491,1.6020284740992112,-0.18074847673614738,0,0,1
0,-0.6481364558334768,-0.6493622353566982,-0.6458007034854837,-0.6453350219810696,1.1802670016092036,-0.002932121145485203,1,0,0
0,-0.6493160551561384,-0.6546349679458683,-0.6428263539660886,-0.6497584723922473,0.7782515283292981,-0.07405866338175596,0,1,0
1,-0.6487262554948076,-0.651705672062996,-0.6466930083413022,-0.6447452285929126,1.5405931422102999,0.008922302560556414,0,1,0
0,-0.6502007546481345,-0.6502410241215599,-0.6428263539660886,-0.6453350219810696,2.6752945527459713,-0.2518750189724097,0,1,0
0,-0.6451874575268227,-0.6481905170035493,-0.6419340491102701,-0.6488737823100117,1.9570996848193347,0.03855836182566467,1,0,0
0,-0.6473992062568132,-0.651705672062996,-0.643718658821907,-0.6473992988396192,1.3800443644381926,0.12153932776797284,1,0,0
1,-0.6516752538014616,-0.6505339537098471,-0.6501105359390872,-0.6532972327211893,2.6199844151409093,-0.07405866338175175,0,1,0
0,-0.6510854541401309,-0.65551375671073,-0.6472878782451812,-0.6535921294152678,1.2651861349903049,-0.02664096855757686,0,0,1
1,-0.6516752538014616,-0.6549278975341555,-0.6458007034854837,-0.6500533690863257,1.56838825356042,0.15117538703308528,0,0,1
1,-0.6566885509227736,-0.65551375671073,-0.6505596627165158,-0.6530023360271109,0.5349342705854976,-0.08591308708779757,0,0,1
1,-0.6558038514307772,-0.65551375671073,-0.6490724879568184,-0.6518227492507968,0.606622717565774,-0.2400205952663681,0,1,0
0,-0.6510854541401309,-0.6569784046521661,-0.6493699229087578,-0.6565410963560528,0.2784096668654704,0.1630298107391269,1,0,0
0,-0.6563936510921081,-0.6590289117701766,-0.6499647928126367,-0.6535921294152678,0.24898072579347413,-0.062204239675710135,1,0,0
1,-0.6560987512614427,-0.6599077005350383,-0.6493699229087578,-0.6550666128856604,-0.00046172623417602355,-0.09776751079383919,0,1,0
1,-0.654919151938781,-0.6616652780647616,-0.6514817110675284,-0.6591951666027595,0.024895977918614774,0.11561211591495203,0,1,0
1,-0.6590477495680968,-0.6628369964179106,-0.6535637557311049,-0.6603747533790735,0.2450995466174257,-0.10962193449988503,0,0,1
1,-0.6575732504147697,-0.6613723484764745,-0.6544560605869234,-0.6597849599909165,0.5799812900600806,-0.12147635820592664,0,1,0
0,-0.6558038514307772,-0.6569784046521661,-0.6541288821397899,-0.6568359930501314,2.0617381426395687,-0.02664096855757686,1,0,0
0,-0.6563936510921081,-0.6569784046521661,-0.6511545326203948,-0.6586053732146024,0.8287435354280109,-0.07405866338175175,0,0,1
0,-0.6558038514307772,-0.6581501230053151,-0.6547267263931883,-0.6594900632968379,0.9763550492799569,-0.014786544851531032,1,0,0
0,-0.6566885509227736,-0.6631299260061978,-0.655318621947548,-0.661849236849466,0.7040323124532994,0.22230192926934342,0,0,1
